card_id,name,description,image_key,result_image,is_active
47,圣杯侍从 (Page of Cups),敏感而富有诗意，一个感性的消息或直觉正在萌芽。,Card1.jpg,Page of Cups.jpg,1
48,圣杯骑士 (Knight of Cups),浪漫的追随者，带着真诚的情感邀约款款而来。,Card1.jpg,Knight of Cups.jpg,1
49,圣杯皇后 (Queen of Cups),慈悲且直觉敏锐，她是情感的港湾，懂得温柔的力量。,Card1.jpg,Queen of Cups.jpg,1
50,圣杯国王 (King of Cups),情感的掌控者，即便内心波涛汹涌，依然能保持儒雅稳重。,Card1.jpg,King of Cups.jpg,1
51,宝剑一 (Ace of Swords),逻辑如利刃般清晰，突破重重迷雾，看清事实真相。,Card1.jpg,Ace of Swords.jpg,1
52,宝剑二 (Two of Swords),左右为难的僵局，请静下心来，用理智而非眼睛去抉择。,Card1.jpg,Two of Swords.jpg,1
53,宝剑三 (Three of Swords),虽有心碎与伤痛，但这是成长与疗愈的必经阶段。,Card1.jpg,Three of Swords.jpg,1
54,宝剑四 (Four of Swords),精神的休憩，在忙碌的思考中强迫自己按下暂停键。,Card1.jpg,Four of Swords.jpg,1
55,宝剑五 (Five of Swords),即使赢得了辩论，也可能输掉了人心，这是一场惨胜。,Card1.jpg,Five of Swords.jpg,1
56,宝剑六 (Six of Swords),离开混乱的岸边，划向平静的水域，时间会平复一切。,Card1.jpg,Six of Swords.jpg,1
57,宝剑七 (Seven of Swords),策略与规避，有时需要绕开正面冲突，用智慧解决问题。,Card1.jpg,Seven of Swords.jpg,1
58,宝剑八 (Eight of Swords),束缚你的往往不是环境，而是你内心的恐惧与限制。,Card1.jpg,Eight of Swords.jpg,1
59,宝剑九 (Nine of Swords),深夜的焦虑与梦魇，记住，大多数担忧只是头脑的幻觉。,Card1.jpg,Nine of Swords.jpg,1
60,宝剑十 (Ten of Swords),最黑暗的时刻已经过去，黎明就在痛苦的终点。,Card1.jpg,Ten of Swords.jpg,1
61,宝剑侍从 (Page of Swords),警觉且思维敏捷，像风一样捕捉各种碎片化的信息。,Card1.jpg,Page of Swords.jpg,1
62,宝剑骑士 (Knight of Swords),势不可挡的冲锋，理智引领行动，但要小心欲速则不达。,Card1.jpg,Knight of Swords.jpg,1
63,宝剑皇后 (Queen of Swords),独立、冷峻且明晰，她只看事实，不被情绪所左右。,Card1.jpg,Queen of Swords.jpg,1
64,宝剑国王 (King of Swords),法律与逻辑的化身，公正无私，用智慧裁决一切纷争。,Card1.jpg,King of Swords.jpg,1
65,星币一 (Ace of Pentacles),一个踏实的机遇出现，为未来的丰收播下种子。,Card1.jpg,Ace of Pentacles.jpg,1
66,星币二 (Two of Pentacles),在多项事务间寻找微妙的平衡，生活就像一场杂耍。,Card1.jpg,Two of Pentacles.jpg,1
67,星币三 (Three of Pentacles),团队协作与专业精神，共同构建一个稳固的项目。,Card1.jpg,Three of Pentacles.jpg,1
68,星币四 (Four of Pentacles),紧紧握住手中所拥有的，但也要警惕因过度保守而停滞。,Card1.jpg,Four of Pentacles.jpg,1
69,星币五 (Five of Pentacles),暂时的物质匮乏或孤独，别忘了寻求路边的光与暖。,Card1.jpg,Five of Pentacles.jpg,1
70,星币六 (Six of Pentacles),施与受的平衡，资源在流转中体现出真正的价值。,Card1.jpg,Six of Pentacles.jpg,1
71,星币七 (Seven of Pentacles),耕耘后的静候，在评估收获的同时，也在思考下一步。,Card1.jpg,Seven of Pentacles.jpg,1
72,星币八 (Eight of Pentacles),专注于当下的打磨，匠人心志是通往卓越的唯一捷径。,Card1.jpg,Eight of Pentacles.jpg,1
73,星币九 (Nine of Pentacles),享受独立与富足，你已经创造了属于自己的秘密花园。,Card1.jpg,Nine of Pentacles.jpg,1
74,星币十 (Ten of Pentacles),物质的圆满与家族的传承，这是一种长久的安稳。,Card1.jpg,Ten of Pentacles.jpg,1
75,星币侍从 (Page of Pentacles),务实的学习者，一个关于学业或财富的新消息正在路上。,Card1.jpg,Page of Pentacles.jpg,1
76,星币骑士 (Knight of Pentacles),勤恳且可靠，虽然行进缓慢，但每一步都留下了脚印。,Card1.jpg,Knight of Pentacles.jpg,1
77,星币皇后 (Queen of Pentacles),慷慨且务实，她在大地之母的丰饶中享受高品质生活。,Card1.jpg,Queen of Pentacles.jpg,1
78,星币国王 (King of Pentacles),成功的实业家，他用稳健和耐心建立了自己的商业帝国。,Card1.jpg,King of Pentacles.jpg,1
